Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто,Адреса,Телефон,Email
Терещук,Петро,Данилович,Чоловіча,1965-08-15,Астронавт,хутір Радомишль,"вулиця Теофіла Фраєрмана, буд. 4, Жовті Води, 70747",+380 26 713 29 31,iustym29@example.net
Ніколюк,Климент,Олексійович,Чоловіча,1975-06-25,Державний службовець,хутір Гуляйполе,"сквер Ялинкова, буд. 7 кв. 450, Перещепине, 83093",+380 77 548 01 51,viacheslav16@example.com
Охріменко,Святослава,Олексіївна,Жіноча,1949-09-24,Шериф,селище Підгайці,"шосе Скидановська, буд. 3, Сквира, 69807",446 19 96,leopoldtymchenko@example.net
Онищенко,Аврелій,Денисович,Чоловіча,1978-01-29,Кіноактор,село Горохів,"шосе Травневий 5-й, буд. 332 кв. 3, Джанкой, 05590",077 236-30-21,nkolisnychenko@example.com
Романець,Лілія,Антонівна,Жіноча,1945-03-15,Науковець,село Дніпро,"провулок Василя Кандинського 5-й, буд. 56 кв. 14, Гадяч, 85964",211-63-00,avermenych@example.com
Данильчук,Марʼяна,Назарівна,Жіноча,1964-12-04,Соціолог,селище Шостка,"вулиця Шовкуненка, буд. 5, Хотин, 82083",548-65-19,isaievychsymon@example.net
Ященко,Тереза,Сергіївна,Жіноча,2006-01-24,Акушер,місто Свалява,"набережна Чорноморського козацтва, буд. 18 кв. 84, Бердянськ, 59991",385 51 27,nandroshchuk@example.org
Дурдинець,Віра,Тимурівна,Жіноча,1996-10-24,Фармацевт,селище Заставна,"сквер Локомотивний 2-й, буд. 477, Хуст, 59646",071 416-04-17,oleksandrprymachenko@example.org
Дубенко,Давид,Петрович,Чоловіча,1938-05-07,Композитор,хутір Лозова,"проспект Лінія 49-та, буд. 0 кв. 331, Миронівка, 12495",+380 86 074-44-45,wzakusylo@example.com
Наливайко,Болеслав,Денисович,Чоловіча,2007-04-16,Науковець,село Дубно,"вулиця Запорізька, буд. 519, Бердянськ, 30772",+380 59 253-33-27,nartemenko@example.com
Засуха,Наталія,Романівна,Жіноча,1993-07-03,Науковець,село Арциз,"проспект Лінія 23-тя, буд. 71, Ялта, 52494",+380 01 246-67-24,mariana95@example.net
Вахній,Михайлина,Антонівна,Жіноча,1971-04-15,Конструктор,село Гайворон,"провулок Стрийський, буд. 91 кв. 0, Олевськ, 41143",047 280 33 72,boryslavkolesnychenko@example.com
Скопенко,Пилип,Антонович,Чоловіча,1944-03-19,Співак,хутір Лебедин,"проспект Вишнева, буд. 2, Карлівка, 74453",470 57 02,ntsushko@example.org
Негода,Ада,Романівна,Жіноча,1964-10-01,Хімік,хутір Тернівка,"набережна Селекційна, буд. 113, Сквира, 17444",061 765 15 72,bohdannatsiutsiura@example.com
Щириця,Лариса,Сергіївна,Жіноча,1999-11-07,Журналіст,місто Рожище,"набережна Красний, буд. 7 кв. 22, Торецьк, 42176",286 50 80,spas41@example.org
Дахно,Степан,Андрійович,Чоловіча,1967-11-08,Диригент,місто Подільськ,"провулок Виноградна 2-га, буд. 461, Рудки, 26003",815 85 51,ilchenkokyrylo@example.org
Вакарчук,Ада,Денисівна,Жіноча,1964-08-01,Ветеринар,село Канів,"провулок Лінія 39-та, буд. 7 кв. 55, Суходільськ, 19068",306-04-23,hrechkodaryna@example.net
Акименко,Артем,Тимофійович,Чоловіча,1947-03-07,Фольклорист,хутір Карлівка,"вулиця Пассіонарії, буд. 3 кв. 235, Косів, 73833",007 466 34 10,vlasiukielysaveta@example.com
Василенко,Надія,Сергіївна,Жіноча,1946-02-14,М'ясник,село Хорол,"вулиця Толвінського, буд. 2, Самбір, 08121",+380 53 400 05 92,jhaidenko@example.org
Юрчишин,Анжела,Олексіївна,Жіноча,1957-07-11,Флорист,село Боково-Хрустальне,"провулок Базарна, буд. 61, Жовква, 47510",047 257 65 93,vasyl71@example.net
Андрощук,Лариса,Сергіївна,Жіноча,1945-12-01,Фермер,село Вижниця,"вулиця Преображенська, буд. 9 кв. 3, П'ятихатки, 88887",+380 31 334-35-61,artemshylo@example.org
Вишняк,Марʼяна,Романівна,Жіноча,1945-03-03,Ґрунтознавець,село Бердичів,"узвіз Решата Аметова, буд. 308 кв. 27, Сокологірськ, 60396",+380 49 694-75-85,giukhymenko@example.org
Ванченко,Валерій,Янович,Чоловіча,1946-02-07,Музикант,хутір Родинське,"шосе Чубаївська, буд. 6, Хуст, 53983",065 142 97 03,darahaniustym@example.net
Цибуленко,Володимира,Романівна,Жіноча,1988-01-11,Патологоанатом,селище Світловодськ,"площа Зелена балка, буд. 5 кв. 310, Антрацит, 65630",002 691 77 44,odarka86@example.net
Адаменко,Микита,Тарасович,Чоловіча,1956-01-31,Програміст,селище Біляївка,"сквер Керченська, буд. 2 кв. 4, Перевальськ, 42761",+380 19 526-36-40,priskaliashko@example.net
Вітрук,Одарка,Олександрівна,Жіноча,1948-01-28,Кіноактор,село Ворожба,"провулок Кордонний, буд. 0, Бобровиця, 79984",+380 23 379 47 27,dannacharnysh@example.com
Андрієвич,Макар,Кирилович,Чоловіча,1941-11-15,Кіноактор,селище Радивилів,"провулок Цементний, буд. 05 кв. 93, Кременець, 36940",057 179 96 80,ivanenkooksana@example.net
Мазепа,Маруся,Назарівна,Жіноча,1939-06-11,Електрик,хутір Обухів,"вулиця Квітковий, буд. 701, Житомир, 31734",+380 76 773-05-87,tymofii52@example.com
Скоробогатько,Маруся,Данилівна,Жіноча,1963-11-15,Режисер,місто Горішні Плавні,"площа Танфільєва, буд. 7, Хмільник, 67158",904 69 31,marko07@example.com
Вишиваний,Алевтин,Назарович,Чоловіча,1993-01-02,Адвокат,селище Остер,"вулиця Вокзальний, буд. 462 кв. 04, Кагарлик, 03554",334-51-51,olifirenkomilena@example.org
Овчаренко,Віра,Олександрівна,Жіноча,1992-02-22,Кінокритик,хутір Українка,"провулок Буковецького, буд. 6 кв. 04, Вашківці, 47857",+380 71 555-76-02,boleslavtereshchuk@example.com
Вівчаренко,Орися,Іванівна,Жіноча,1945-08-07,Провізор,селище Борислав,"вулиця Окружна, буд. 7 кв. 9, Голубівка, 47768",+380 51 492 67 72,aaronchumachenko@example.org
Власюк,Теодор,Данилович,Чоловіча,1999-11-19,Фрілансер,село Шахтарськ,"проспект Цементний, буд. 107 кв. 453, Дніпро, 15006",+380 22 194-80-03,dshynkarenko@example.org
Демиденко,Галина,Богданівна,Жіноча,1999-05-21,Круп'є,село Обухів,"провулок Берегова, буд. 950 кв. 4, Ірпінь, 90817",897-72-85,orysia44@example.com
Баклан,Амвросій,Данилович,Чоловіча,1970-08-17,Графік,місто Алушта,"сквер Бориса Літвака, буд. 064 кв. 445, Амвросіївка, 15415",+380 99 137-16-90,nhohol@example.net
Дубенко,Азар,Олександрович,Чоловіча,1999-06-04,Модельєр,селище Львів,"площа Весела, буд. 75, Тульчин, 29793",378 47 56,khrystyna73@example.net
Рудько,Оксана,Іванівна,Жіноча,1986-12-01,Швачка,місто Горлівка,"парк Солонцюватий, буд. 98 кв. 2, Люботин, 98420",+380 75 357-41-73,ctkachenko@example.com
Бабиченко,Варфоломій,Іванович,Чоловіча,1976-06-19,Професор,село Зборів,"вулиця Куниці, буд. 9 кв. 255, Бар, 27332",086 309 24 38,dan76@example.org
Мірошниченко,Ярина,Андріївна,Жіноча,1952-06-24,Локсмайстер,село Виноградів,"провулок Лінія 43-тя, буд. 58, Острог, 56771",+380 (96) 609-48-33,mykolai93@example.net
Пилипенко,Богодар,Андрійович,Чоловіча,1957-06-24,Фізик,селище Алупка,"шосе Набережна, буд. 835, Ворожба, 01334",+380 42 795-86-51,kamilla58@example.org
Чуйко,Віра,Петрівна,Жіноча,1941-04-03,Ботанік,місто Монастирище,"площа Лятошинського, буд. 152, Городенка, 64711",332-93-17,bohuslava40@example.net
Лагода,Амалія,Тарасівна,Жіноча,1961-06-26,Продюсер,місто Хуст,"сквер Незалежності, буд. 59, Вишневе, 15881",039 064-02-86,komariaryna@example.com
Лемешко,Августин,Павлович,Чоловіча,1975-11-04,Бібліотекар,місто Балаклія,"парк Олешківська, буд. 429, Світлодарськ, 70452",+380 84 606-29-37,avhustynkashchenko@example.com
Ільєнко,Ілля,Тимофійович,Чоловіча,1998-09-08,Ювелір,хутір Моспине,"площа Мала, буд. 951 кв. 76, Семенівка, 10614",553 43 29,valentyn06@example.com
Носенко,Аарон,Сергійович,Чоловіча,2001-01-05,Локсмайстер,місто Ківерці,"вулиця Роздольна, буд. 94 кв. 960, Ясинувата, 72973",027 387-61-35,ghrechko@example.net
Баранник,Ольга,Назарівна,Жіноча,1992-07-14,Правник,місто Горлівка,"площа Вершинна, буд. 922 кв. 4, Очаків, 84169",432 31 08,geretamykhailo@example.com
Червоненко,Ігнат,Андрійович,Чоловіча,1954-12-21,Біолог,село Хуст,"проспект Заньковецької, буд. 3 кв. 45, Іллінці, 43664",533-18-38,trokhym25@example.net
Бабенко,Демид,Назарович,Чоловіча,1964-07-04,Доцент,хутір Сміла,"провулок Ф. Пішеніна, буд. 936 кв. 889, Одеса, 96060",+380 (17) 854-70-18,bohdantsushko@example.com
Зайченко,Марта,Сергіївна,Жіноча,1993-11-20,Композитор,хутір Винники,"набережна Гімназична, буд. 9, Нетішин, 24499",545 12 40,demianzasenko@example.net
Верменич,Роксолана,Назарівна,Жіноча,1943-11-02,Ювелір,хутір Вишгород,"площа Гілельса, буд. 046 кв. 66, Володимир-Волинський, 48475",097 266-54-37,iaryna85@example.net
Притула,Єва,Павлівна,Жіноча,1958-05-20,Астрофізик,селище Рудки,"шосе Героїв УПА, буд. 1, Ржищів, 55828",783 95 63,iatseniukiaryna@example.net
Бабійчук,Юхим,Кирилович,Чоловіча,1987-09-14,Дерун,селище Чортків,"парк Професора Каришковського, буд. 27 кв. 107, Білозерське, 27117",+380 75 246-48-30,ieva12@example.net
Яковенко,Левко,Денисович,Чоловіча,1950-12-09,Геолог,селище Бобринець,"узвіз Павлова, буд. 9 кв. 2, Копичинці, 18993",+380 40 116-09-39,orynalubenets@example.com
Левченко,Володимира,Янівна,Жіноча,1981-05-01,Дерун,селище Сіверськодонецьк,"шосе 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 24, Дергачі, 61247",+380 13 307 10 14,nartym@example.com
Бабко,Аарон,Павлович,Чоловіча,1973-04-07,Стоматолог,хутір Моспине,"вулиця Бориса Нечерди, буд. 1, Прип'ять, 24248",944-03-99,tetiana20@example.net
Юрчук,Богданна,Артемівна,Жіноча,1947-09-13,Філолог,селище Чуднів,"площа Віталія Блажка, буд. 8 кв. 6, Ізюм, 73180",+380 04 465-19-59,nbarabash@example.net
Конопленко,Тарас,Тимофійович,Чоловіча,1962-04-04,Штукатур,село Новоукраїнка,"провулок Пересипський міст, буд. 66 кв. 091, Погребище, 91475",+380 44 491-22-47,nadiiashynkarenko@example.com
Романенко,Георгій,Денисович,Чоловіча,1959-04-17,Петрограф,хутір Монастирище,"набережна Капітана Кузнецова, буд. 279 кв. 3, Генічеськ, 66427",+380 (74) 791-92-41,milena93@example.net
Щириця,Василина,Іванівна,Жіноча,1969-08-15,Візажист,село Заставна,"шосе Остапа Вишні, буд. 3 кв. 41, Маріуполь, 75743",119-31-85,zatulasolomiia@example.net
Лагода,Олександр,Тимурович,Чоловіча,1973-03-25,Лікар,селище Корюківка,"шосе Складська, буд. 81 кв. 29, Городище, 16692",+380 58 779-20-73,vivcharenkopriska@example.org
Матяш,Еріка,Кирилівна,Жіноча,1998-09-01,Бухгалтер,хутір Волочиськ,"площа Нова, буд. 02, Авдіївка, 03650",+380 95 902-22-61,adamchuksolomiia@example.com
Дрозденко,Емілія,Богданівна,Жіноча,1948-10-31,Агроном,місто Судак,"вулиця Давида Бурлюка, буд. 74 кв. 7, Надвірна, 55684",+380 35 628 19 57,albinahohol-ianovska@example.org
Дейнека,Богуслав,Андрійович,Чоловіча,1955-06-28,Фармацевт,місто Покров,"площа Лінійна, буд. 97 кв. 3, Львів, 58999",039 152 00 99,phavrylyshyn@example.com
Іщенко,Георгій,Сергійович,Чоловіча,1940-02-23,Економіст,село Устилуг,"вулиця Дмитра Іванова, буд. 4, Бориспіль, 52164",+380 42 642 45 45,viktoriiabaturynets@example.org
Бандера,Адам,Данилович,Чоловіча,1975-05-01,Диригент,село Тетіїв,"сквер Заводська, буд. 577, Волочиськ, 49954",057 890-70-12,shutkookseniia@example.com
Баштан,Омелян,Тарасович,Чоловіча,1939-06-21,Мінералог,селище Синельникове,"шосе Геранієва, буд. 4 кв. 31, Южне, 49608",+380 11 646-03-32,akymenkosnizhana@example.net
Ярош,Панас,Богданович,Чоловіча,1980-09-08,Провізор,селище Заліщики,"провулок Музична, буд. 1 кв. 843, Макіївка, 80549",+380 99 912-52-26,pavlotytarenko@example.net
Пустовіт,Варвара,Олександрівна,Жіноча,1998-02-23,Ді-джей,місто Дрогобич,"вулиця Дачна, буд. 186 кв. 998, Жашків, 83068",036-46-42,adam24@example.com
Парасюк,Олесь,Романович,Чоловіча,1996-11-02,Живописець,хутір Перемишляни,"провулок Маразліївська, буд. 450 кв. 30, Тлумач, 73979",739-13-73,kozaktaras@example.org
Голик,Єва,Богданівна,Жіноча,1997-12-17,Фармацевт,хутір Херсон,"площа Мала Арнаутська, буд. 21, Одеса, 88837",083 295-04-27,liudmyla56@example.com
Устенко,Пріска,Янівна,Жіноча,1940-06-14,Дизайнер,село Брянка,"проспект Каштанова, буд. 33, Новий Калинів, 73445",025 762 27 28,shyianserhii@example.org
Жученко,Марина,Назарівна,Жіноча,1992-09-13,Льотчик,село Костопіль,"проспект Сашка Хорошенка, буд. 16 кв. 963, Кропивницький, 15070",+380 44 780-50-99,barkhypenko@example.net
Ковпак,Аркадій,Романович,Чоловіча,1994-05-22,Стоматолог,місто Виноградів,"вулиця Івахненка Петра, буд. 8, Перечин, 64188",+380 64 958-36-84,zakhar64@example.org
Демʼяненко,Костянтин,Олександрович,Чоловіча,1969-09-14,Євнух,хутір Острог,"сквер Заньковецької, буд. 287, Алмазна, 36656",+380 29 036-11-66,gshcherban@example.com
Юрчук,Алла,Олександрівна,Жіноча,1995-12-22,Реабілітолог,хутір Кобеляки,"провулок Щоголєва, буд. 93 кв. 5, Донецьк, 46073",944 23 17,volodymyrhavrysh@example.org
Талан,Анжела,Олексіївна,Жіноча,1978-05-08,Дантист,селище Дрогобич,"набережна Поштовий, буд. 21, Дніпрорудне, 12207",+380 05 797-33-72,parmen14@example.com
Демʼянчук,Христина,Антонівна,Жіноча,1980-07-18,Пілот,селище Бар,"парк Цегельнозаводська, буд. 0, Ладижин, 04668",815 68 47,serhii88@example.net
Самойленко,Юхим,Денисович,Чоловіча,1994-11-10,Футболіст,хутір Южноукраїнськ,"проспект Всеволода Змієнка, буд. 4, Хотин, 93015",093 414-90-56,solomonovsiienko@example.net
Вовк,Вʼячеслав,Данилович,Чоловіча,1996-04-30,Археолог,місто Борислав,"узвіз 19-та Лінія, буд. 436, Чернівці, 22392",+380 45 877-87-80,adaabramchuk@example.org
Дейнека,Анжела,Артемівна,Жіноча,1981-11-13,Фотограф,хутір Берестин,"проспект Отамана Чепіги, буд. 480, Вишгород, 51057",+380 (65) 489-23-43,vashchenko-zakharchenkotaras@example.net
Носаченко,Ярина,Богданівна,Жіноча,1938-04-05,Електромонтажник,селище Борислав,"шосе Аеродромна, буд. 491 кв. 47, Дубровиця, 43200",+380 70 259-25-54,makarzhuchenko@example.com
Цибуленко,Михайло,Кирилович,Чоловіча,2007-07-04,Кінокритик,селище Бунге,"площа Сортувальна 2-га, буд. 7, Кам'янець-Подільський, 52948",061 444-64-74,aatroshchenko@example.net
Заруба,Богдан,Янович,Чоловіча,1969-11-22,Редактор,село Соледар,"проспект Ярморочна площа, буд. 1, Хуст, 12141",+380 68 296-63-17,stefankhmara@example.com
Гречко,Святослава,Романівна,Жіноча,2004-10-28,Юрист,місто Бар,"узвіз Косовський, буд. 0 кв. 6, Ладижин, 83476",+380 (41) 063-45-76,tbabii@example.com
Ватаманюк,Світлана,Романівна,Жіноча,1938-12-11,Художник,місто Великі Мости,"провулок Заводська, буд. 90, Яготин, 97623",344 57 52,hanna45@example.org
Цушко,Марʼяна,Романівна,Жіноча,2004-06-14,Ґрунтознавець,село Лубни,"узвіз Старицького, буд. 44, Кремінна, 50945",+380 (94) 705-54-84,vdanylenko@example.org
Щербань,Панас,Богданович,Чоловіча,1946-07-06,Фермер,селище Комарно,"провулок 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 066, Вишневе, 76487",714 36 37,devdiukpavlo@example.net
Гуцуляк,Ілля,Данилович,Чоловіча,1985-07-24,Клоун,місто Герца,"парк Дніпровська, буд. 8, Новгород-Сіверський, 12871",+380 (24) 383-58-46,shovkopliashlib@example.net
Скорик,Надія,Янівна,Жіноча,1954-07-09,Петрограф,селище Рахів,"узвіз Деревообробна, буд. 128, Южноукраїнськ, 51068",+380 (36) 459-00-36,klymentvovk@example.net
Червоненко,Богуслав,Янович,Чоловіча,1940-10-31,Реабілітолог,село Новоселиця,"сквер Басейний 2-й, буд. 3, Генічеськ, 61990",583-26-06,dubenkoanzhela@example.org
Голик,Богданна,Тимурівна,Жіноча,1945-09-21,Різноробочий,селище Андрушівка,"набережна Товарний, буд. 6, Білозерське, 16137",+380 58 827-75-31,ostapbabiuk@example.com
Ященко,Юстина,Олександрівна,Жіноча,1954-12-24,Мовознавець,селище Хорол,"шосе Савицький, буд. 827, Бровари, 18325",+380 (95) 597-69-54,ikorbut@example.org
Вакуленко,Еріка,Андріївна,Жіноча,1993-10-15,Співак,село Федорівка,"сквер Студена, буд. 784 кв. 872, Зіньків, 12916",+380 (12) 358-41-28,izasiadko@example.net
Демʼяненко,Ігор,Тарасович,Чоловіча,1941-10-11,Секретар,селище Гребінка,"набережна Юрія Єгорова, буд. 910, Чернівці, 91813",+380 15 527 69 77,kalenychenkoadam@example.net
Конопля,Іван,Олексійович,Чоловіча,2006-09-22,Філолог,місто Новогродівка,"вулиця Заводська 2-га, буд. 11 кв. 721, Борзна, 41955",794-83-73,gadamenko@example.net
Стус,Олесь,Олексійович,Чоловіча,1988-08-28,Перекладач,селище Ямпіль,"вулиця Демократична, буд. 61 кв. 3, Нетішин, 86092",042 137-93-41,iaryna36@example.net
Батуринець,Дмитро,Петрович,Чоловіча,1984-04-04,Кінорежисер,село Курахове,"узвіз Бандурний, буд. 8 кв. 7, Борислав, 36559",792-32-02,mlytvyn@example.com
Гаврилишин,Ярина,Павлівна,Жіноча,1965-05-11,Астрофізик,село Хутір-Михайлівський,"узвіз Сірожупанників, буд. 853, Генічеськ, 10886",+380 16 562-90-03,pylypenkohryhorii@example.com
Щербак,Оксенія,Кирилівна,Жіноча,1970-01-29,Режисер,селище Зоринськ,"площа Мерло, буд. 802, Хрустальний, 81499",482-19-62,masliakruslan@example.net
Комар,Любов,Романівна,Жіноча,2001-09-27,Флорист,село Мостиська,"парк Житомирська, буд. 36, Кремінна, 02752",+380 98 509-62-72,zabilaielysaveta@example.org
Усик,Лілія,Кирилівна,Жіноча,1939-06-26,Біолог,село Нетішин,"площа Кавказький, буд. 544 кв. 3, Погребище, 33162",+380 12 066-76-13,zskorobohatko@example.org
Цибуленко,Пармен,Романович,Чоловіча,1997-08-24,Флорист,селище Івано-Франківськ,"узвіз Амбулаторна, буд. 5, Зимогір'я, 68580",+380 82 902-85-31,matviienkoiakiv@example.org
Шиян,Віра,Петрівна,Жіноча,1967-02-13,Кінолог,селище Новогродівка,"парк Аркадійська, буд. 890 кв. 00, Торецьк, 01748",090 324 96 18,tkachenkoielysei@example.net
Фаренюк,Пармен,Артемович,Чоловіча,1989-07-17,Паралегал,хутір Зугрес,"узвіз Гімназична, буд. 73 кв. 506, Скадовськ, 31213",032-63-74,vitalii97@example.net
Фесенко,Альбіна,Тарасівна,Жіноча,1998-10-11,Кур'єр,місто Верхівцеве,"сквер Пересипська 5-та, буд. 50 кв. 215, Старобільськ, 27809",+380 97 088 47 08,viktortykhyi@example.net
Карпенко,Вікторія,Олексіївна,Жіноча,1964-11-07,Мікробіолог,хутір Глухів,"вулиця Зелений, буд. 0 кв. 879, Лохвиця, 33118",+380 (86) 805-74-16,ukanivets@example.org
Гузь,Нестор,Данилович,Чоловіча,1977-02-16,Філолог,селище Зборів,"парк Чорноморський 3-й, буд. 99 кв. 4, Дебальцеве, 13725",662-90-60,mykhailyna27@example.org
Валенко,Алевтин,Олексійович,Чоловіча,1963-10-04,Візажист,село Чистякове,"узвіз Крижанівський, буд. 0, Карлівка, 01905",+380 42 201-67-51,orysia47@example.net
Ящук,Леон,Олександрович,Чоловіча,1945-04-04,Ріелтор,селище Гола Пристань,"сквер Олешківська, буд. 420 кв. 28, Липовець, 53220",+380 14 677-92-52,odarka07@example.com
Харченко,Орест,Павлович,Чоловіча,1971-05-11,Намотувальник,село Болград,"провулок Михайла Омеляновича-Павленка, буд. 28 кв. 4, Перечин, 64548",029 678 44 83,ftokar@example.net
Пилипенко,Микита,Олександрович,Чоловіча,1940-04-22,Педагог,місто Жданівка,"площа Олександра Болдирєва, буд. 58, Єнакієве, 09288",085 31 81,marta88@example.com
Нестеренко,Ілля,Павлович,Чоловіча,1976-12-25,Філолог,село Городня,"вулиця Мазепи Івана, буд. 6 кв. 1, Гнівань, 71233",+380 28 895 88 02,rtsiutsiura@example.com
Ткач,Лукʼян,Кирилович,Чоловіча,1945-07-02,Дипломат,селище Вільногірськ,"шосе Польовий 1-й, буд. 7, Остер, 99213",+380 25 643 93 31,hordiivlasiuk@example.org
Давиденко,Назар,Іванович,Чоловіча,1951-02-19,Астрофізик,місто Городенка,"площа Стеценко, буд. 976, Берислав, 02221",+380 84 074 13 15,verhundemian@example.net
Вергун,Софія,Олексіївна,Жіноча,1970-01-09,Живописець,хутір Очаків,"сквер Айвазовського, буд. 45 кв. 799, Середина-Буда, 76560",+380 68 384-99-50,viacheslav24@example.org
Рябченко,Алевтин,Петрович,Чоловіча,1946-03-04,Астрофізик,місто Бурштин,"вулиця Приморський, буд. 5, Очаків, 89488",+380 81 065-07-90,ruslanfesenko@example.org
Охримович,Стефан,Данилович,Чоловіча,2007-03-05,Антрополог,село Антрацит,"парк Спортивний, буд. 5, Ніжин, 64814",+380 27 321 86 63,szinkevych@example.org
Романець,Вікторія,Богданівна,Жіноча,1992-01-14,Мовознавець,місто Зборів,"парк Головківська, буд. 26, Кременчук, 42946",+380 83 432-83-40,kshtokalo@example.org
Мазепа,Йосип,Андрійович,Чоловіча,1945-11-14,Єгер,селище Жданівка,"проспект Томатна, буд. 222 кв. 56, Городня, 25710",568-45-54,gchervonenko@example.com
Дейсун,Ганна,Янівна,Жіноча,1938-11-28,Продюсер,хутір Чистякове,"шосе Манежний, буд. 472, Хмельницький, 21609",097 185 66 90,liaremenko@example.net
Кириленко,Венедикт,Сергійович,Чоловіча,2009-05-24,Детектив,село Кіцмань,"набережна Пересипська 1-ша, буд. 05 кв. 51, Моршин, 63599",+380 (78) 034-79-13,nazar28@example.com
Гузій,Вадим,Іванович,Чоловіча,1959-12-29,Електромонтажник,місто Миколаїв,"парк Іподромний, буд. 8 кв. 1, Радивилів, 79089",+380 07 574 84 59,ostap74@example.net
Андрієнко,Аврелій,Сергійович,Чоловіча,1966-11-14,Електрик,хутір Мена,"сквер Горбиста, буд. 81, Вижниця, 65607",+380 (71) 519-76-97,mpavlyk@example.org
Дзиндра,Клавдія,Сергіївна,Жіноча,1975-05-17,Агроном,місто Перемишляни,"набережна Колективний, буд. 04 кв. 75, Липовець, 35989",+380 16 387-23-22,adamenkoamvrosii@example.org
Оберемко,Марʼяна,Андріївна,Жіноча,1956-07-16,Правник,село Херсон,"проспект Бориса Нечерди, буд. 442 кв. 2, Шостка, 59151",681-91-84,pkozak@example.org
Цимбалюк,Василина,Олександрівна,Жіноча,1986-03-13,Музичний редактор,хутір Перемишляни,"парк Михайла Божія, буд. 8 кв. 3, Василівка, 31366",+380 53 578-68-31,vvobla@example.net
Чорновіл,Софія,Павлівна,Жіноча,2004-01-18,Складальник,село Стебник,"проспект Приморський, буд. 4 кв. 98, Київ, 12134",+380 07 524-93-16,iukhymlemeshko@example.org
Василашко,Артем,Тимофійович,Чоловіча,1991-04-13,Співак,хутір Решетилівка,"парк Шебелінський, буд. 440, Красноперекопськ, 36715",803 82 08,tsymbalheorhii@example.net
Бабак,Марина,Тимурівна,Жіноча,1965-10-27,Електротехнік,місто Алушта,"вулиця Шполянська, буд. 3 кв. 46, Деражня, 91736",096 376-67-98,volodymyrabaklan@example.com
Швайка,Хома,Тимофійович,Чоловіча,1964-05-31,Нотаріус,селище Олександрія,"парк Рекордний, буд. 63, Городенка, 47871",+380 (04) 885-60-06,akhomyk@example.net
Арсенич,Олександр,Михайлович,Чоловіча,1984-12-09,Швачка,селище Вугледар,"вулиця Шкільний аеродром, буд. 94 кв. 990, Кобеляки, 09981",+380 49 130-28-94,iustynamamchur@example.org
Вернигора,Данило,Тарасович,Чоловіча,1938-12-27,Електротехнік,село Буча,"вулиця Лазурний 4-й, буд. 952, Горлівка, 95530",+380 47 579-66-94,chubaiiaryna@example.org
Данько,Миколай,Андрійович,Чоловіча,1938-11-07,Секретар,селище Тернопіль,"проспект Рішельєвська, буд. 432, Чернівці, 17797",+380 (97) 374-56-65,orlykdemian@example.net
Швачко,Богуслава,Кирилівна,Жіноча,1939-01-12,Паралегал,село Пустомити,"сквер Басейний 3-й, буд. 1, Шепетівка, 09883",+380 90 541-14-24,adamchukopanas@example.com
Дейнеко,Святослава,Денисівна,Жіноча,2005-04-20,Зоолог,село Камінь-Каширський,"проспект Героїв Небесної Сотні, буд. 31 кв. 56, Монастириська, 17517",+380 96 927 11 97,bohuslav86@example.net
Кабалюк,Соломія,Данилівна,Жіноча,1945-07-14,Астроном,хутір Кролевець,"узвіз Хаджибейська дорога, буд. 243, Кремінна, 63708",+380 (42) 046-71-94,zlatoslavashyian@example.net
Влох,Орися,Іванівна,Жіноча,1998-01-30,Журналіст,село Рудки,"набережна Довга, буд. 738 кв. 9, Долинська, 16472",+380 (73) 360-73-20,omelianshchors@example.net
Килимник,Хома,Іванович,Чоловіча,1962-11-17,Конструктор,селище Миколаївка,"узвіз Альпіністів, буд. 5 кв. 1, Авдіївка, 47347",038 368 59 28,wshablii@example.org
Демʼянюк,Хома,Олександрович,Чоловіча,2005-12-23,Кушнір,селище Синельникове,"проспект Вітчизняна, буд. 05, Радомишль, 27324",+380 87 534 41 83,khoma33@example.com
Терещенко,Тереза,Богданівна,Жіноча,2003-09-01,Драматург,хутір Чернігів,"шосе Пересипська 1-ша, буд. 84 кв. 5, Яворів, 31302",+380 (27) 777-66-42,kolesnychenkonataliia@example.org
Сич,Пантелеймон,Андрійович,Чоловіча,1939-06-15,Пілот,селище Калуш,"провулок Амундсена, 3-й, буд. 1 кв. 6, Хорол, 99407",+380 47 975 11 02,feofanbevzenko@example.com
Охріменко,Андрій,Михайлович,Чоловіча,1965-12-05,М'ясник,хутір Болехів,"набережна Водний, буд. 531, Барвінкове, 73760",+380 83 467 18 43,andreikoklyment@example.com
Артимишина,Климент,Михайлович,Чоловіча,1951-08-19,Літературознавець,село Хрестівка,"вулиця Митракова, буд. 449, Трускавець, 75235",517-28-15,ievhentymchuk@example.com
Єфименко,Анжела,Андріївна,Жіноча,1979-03-29,Музикознавець,селище Лубни,"шосе Слави, буд. 8, Могилів-Подільський, 64729",+380 84 119-22-53,tovstolisokhrim@example.org
Парасюк,Соломон,Михайлович,Чоловіча,1984-12-13,Публіцист,хутір Кодима,"узвіз Литовська, буд. 7 кв. 05, Новоселиця, 60901",+380 63 599-75-58,pavlykvalentyn@example.com
